replikation,parameter,sand,estimat,bias,kv_fejl,konvergeret,n_iter,tid_sek
5,gamma,-0.5,-0.502782072307556,-0.002782072307556005,7.739926324469994e-06,1,344,92.65595858299639
5,beta_sc_12,0.55,0.6163493752818282,0.06634937528182816,0.0044022396002888695,1,344,92.65595858299639
5,beta_sc_21,0.5,0.33860344384476804,-0.16139655615523196,0.026048848338768943,1,344,92.65595858299639
5,beta_dep_1,0.25,0.23681079088107376,-0.013189209118926237,0.00017395523718276702,1,344,92.65595858299639
5,beta_dep_2,0.25,0.2513169695641029,0.0013169695641028767,1.734408832773321e-06,1,344,92.65595858299639
6,alpha_2,0.3,0.3421179897248495,0.042117989724849536,0.001773925058462531,1,302,81.18040558404755
6,gamma,-0.5,-0.5042221970836681,-0.004222197083668111,1.7826948213335502e-05,1,302,81.18040558404755
6,beta_sc_12,0.55,0.5605429454597135,0.01054294545971346,0.00011115369896649266,1,302,81.18040558404755
6,beta_sc_21,0.5,0.4648509150768415,-0.03514908492315849,0.0012354581709354076,1,302,81.18040558404755
6,beta_dep_1,0.25,0.28640094074269606,0.036400940742696064,0.0013250284869532703,1,302,81.18040558404755
6,beta_dep_2,0.25,0.18254614959104698,-0.06745385040895302,0.004550021934993411,1,302,81.18040558404755
7,alpha_2,0.3,0.3635243507499275,0.06352435074992752,0.0040353431381998164,1,268,71.45423695800127
7,gamma,-0.5,-0.5022556229076066,-0.0022556229076066137,5.087834701319714e-06,1,268,71.45423695800127
7,beta_sc_12,0.55,0.58875807643436,0.03875807643435991,0.0015021884888916852,1,268,71.45423695800127
7,beta_sc_21,0.5,0.3880935505760549,-0.11190644942394512,0.012523053422673987,1,268,71.45423695800127
7,beta_dep_1,0.25,0.1921437933621887,-0.0578562066378113,0.00334734064651712,1,268,71.45423695800127
7,beta_dep_2,0.25,0.25918757481763605,0.009187574817636046,8.441153102966003e-05,1,268,71.45423695800127
8,alpha_2,0.3,0.30095158542030015,0.0009515854203001606,9.055148121278333e-07,1,305,79.57923137501348
8,gamma,-0.5,-0.4920676147815587,0.007932385218441307,6.292273525374614e-05,1,305,79.57923137501348
8,beta_sc_12,0.55,0.404009636078811,-0.14599036392118903,0.02131318635784121,1,305,79.57923137501348
8,beta_sc_21,0.5,0.6305676463473318,0.13056764634733176,0.017047910272681897,1,305,79.57923137501348
8,beta_dep_1,0.25,0.14633847473588185,-0.10366152526411815,0.010745711820083406,1,305,79.57923137501348
8,beta_dep_2,0.25,0.29959252116298873,0.049592521162988734,0.0024594181553014853,1,305,79.57923137501348
9,alpha_2,0.3,0.26321576866380536,-0.03678423133619463,0.0013530796749946828,1,298,79.14394799998263
9,gamma,-0.5,-0.5073807701375416,-0.00738077013754157,5.4475767823225407e-05,1,298,79.14394799998263
9,beta_sc_12,0.55,0.49874925383973256,-0.05125074616026748,0.0026266389819841716,1,298,79.14394799998263
9,beta_sc_21,0.5,0.590085843379158,0.09008584337915804,0.008115459177334193,1,298,79.14394799998263
9,beta_dep_1,0.25,0.23249421219856797,-0.017505787801432027,0.00030645260654876637,1,298,79.14394799998263
9,beta_dep_2,0.25,0.2360886797162965,-0.01391132028370351,0.0001935248320357807,1,298,79.14394799998263
10,alpha_2,0.3,0.33030561037079587,0.030305610370795877,0.0009184300199464906,1,208,57.90898983395891
10,gamma,-0.5,-0.4948697252605885,0.005130274739411522,2.6319718901843962e-05,1,208,57.90898983395891
10,beta_sc_12,0.55,0.5609315277172379,0.010931527717237821,0.00011949829823273873,1,208,57.90898983395891
10,beta_sc_21,0.5,0.4774463268524974,-0.022553673147502618,0.0005086681724443806,1,208,57.90898983395891
10,beta_dep_1,0.25,0.32595658702607877,0.07595658702607877,0.005769403112650277,1,208,57.90898983395891
10,beta_dep_2,0.25,0.2755202810169254,0.025520281016925384,0.0006512847431828421,1,208,57.90898983395891
11,alpha_2,0.3,0.298722186035718,-0.0012778139642820041,1.6328085273140908e-06,1,331,87.10311016702326
