parameter,sand,mean_est,bias,std_afv,rmse,konv_rate
alpha_2,0.3,0.3081886853211424,0.008188685321142466,0.03325163691398347,0.033428167118092385,1.0
gamma,-0.5,-0.5005624879995173,-0.0005624879995173388,0.016008193167376852,0.015612992307993026,1.0
beta_sc_12,0.55,0.5641449764922848,0.014144976492284717,0.12054088682718442,0.1183371475370146,1.0
beta_sc_21,0.5,0.49278524614438074,-0.00721475385561923,0.10961744401795433,0.10708518807274447,1.0
beta_dep_1,0.25,0.25269959342857057,0.0026995934285705568,0.03902538395497399,0.0381329171172501,1.0
beta_dep_2,0.25,0.25131388031703955,0.00131388031703953,0.028922403330733922,0.0282206737196664,1.0
