rep,param,true,estimate,bias,sq_error,converged
9,beta_dep_2,0.275,0.2772436856968186,0.002243685696818598,5.034125506108358e-06,1
10,alpha_2,0.5,0.5066604322919401,0.006660432291940133,4.436135831551889e-05,1
10,gamma,0.05,0.051190422870442454,0.0011904228704424508,1.4171066104724438e-06,1
10,beta_sc_12,0.3,0.3172779263746167,0.017277926374616726,0.0002985267398066763,1
10,beta_sc_21,0.25,0.2413874293594881,-0.008612570640511907,7.417637303780769e-05,1
10,beta_dep_1,0.275,0.27636554198527613,0.0013655419852761086,1.864704913551816e-06,1
10,beta_dep_2,0.275,0.27933974621137536,0.004339746211375339,1.883339717914661e-05,1
11,alpha_2,0.5,0.5113137341060994,0.011313734106099371,0.00012800057942351613,1
11,gamma,0.05,0.05123344502549447,0.0012334450254944673,1.5213866309170472e-06,1
11,beta_sc_12,0.3,0.2607223661308963,-0.03927763386910371,0.001542732522355363,1
11,beta_sc_21,0.25,0.2841245618562531,0.03412456185625312,0.0011644857218812456,1
11,beta_dep_1,0.275,0.27909161760349266,0.004091617603492637,1.6741334613210825e-05,1
11,beta_dep_2,0.275,0.28054961794358363,0.005549617943583607,3.079825931974514e-05,1
12,alpha_2,0.5,0.5012343591438213,0.0012343591438213064,1.5236424959352686e-06,1
12,gamma,0.05,0.05008575373529241,8.575373529240427e-05,7.353703116599741e-09,1
12,beta_sc_12,0.3,0.1983299679390264,-0.10167003206097358,0.010336795419279395,1
12,beta_sc_21,0.25,0.3769097977506515,0.12690979775065148,0.016106096765111263,1
12,beta_dep_1,0.275,0.2646587742730232,-0.010341225726976822,0.00010694094953628729,1
12,beta_dep_2,0.275,0.2789313874784275,0.003931387478427473,1.545580750553632e-05,1
13,alpha_2,0.5,0.49745316486661295,-0.0025468351333870487,6.486369196654626e-06,1
13,gamma,0.05,0.05090291741855093,0.0009029174185509262,8.152598647226683e-07,1
13,beta_sc_12,0.3,0.27218425112641453,-0.027815748873585455,0.0007737158853983705,1
13,beta_sc_21,0.25,0.30321307949187093,0.05321307949187093,0.0028316318290081744,1
13,beta_dep_1,0.275,0.2846093735949261,0.009609373594926085,9.234006088686268e-05,1
13,beta_dep_2,0.275,0.2813476426147404,0.006347642614740356,4.029256676446779e-05,1
14,alpha_2,0.5,0.5072854020668062,0.007285402066806168,5.307708327502359e-05,1
14,gamma,0.05,0.04793948909181974,-0.0020605109081802617,4.245705202729847e-06,1
14,beta_sc_12,0.3,0.3564972704244123,0.05649727042441233,0.003191941565409176,1
14,beta_sc_21,0.25,0.1896038890863126,-0.060396110913687406,0.003647690213498431,1
14,beta_dep_1,0.275,0.26899703437477857,-0.006002965625221457,3.603559629759044e-05,1
14,beta_dep_2,0.275,0.2717614643973869,-0.003238535602613113,1.0488112849392678e-05,1
15,alpha_2,0.5,0.49771977037418,-0.002280229625819974,5.199447146467098e-06,1
15,gamma,0.05,0.04763120087249951,-0.002368799127500494,5.611209306447102e-06,1
15,beta_sc_12,0.3,0.4638027840741389,0.1638027840741389,0.02683135207043897,1
