param,true,mean_est,bias,std,rmse,conv_rate
alpha_2,0.5,0.4811015242669516,-0.01889847573304841,0.09927014599113725,0.09858491860258972,1.0
gamma,0.05,0.050010484822487634,1.0484822487631662e-05,0.0015436988044155299,0.0015046480087777462,1.0
beta_sc_12,0.3,-0.09809460072543434,-0.39809460072543434,1.9768106220370811,1.9674528036919827,1.0
beta_sc_21,0.25,0.6508685186756076,0.40086851867560763,1.9803092902325115,1.9713546636760495,1.0
beta_dep_1,0.275,0.27436043947098376,-0.0006395605290163253,0.00845998266534262,0.008270536804420763,1.0
beta_dep_2,0.275,0.27579499840292987,0.0007949984029298307,0.007228036238813825,0.007089732360025066,1.0
