Parameter,Estimate,Std. dev.,z-stat,p-value
alpha_0,-1.1337223331071449,0.01198210581584712,-94.61795368287623,0.0
alpha_2,-0.10447644064492409,0.3000123752210572,-0.3482404369751182,0.7276596217488763
gamma,0.24681851213248937,0.0009379583579189923,263.1444243218803,0.0
beta_sc_12,0.9470950496166916,6.000139491758323,0.15784550524493693,0.8745785401000852
beta_sc_21,0.8918728027864387,6.000146890134789,0.14864182812804494,0.8818362655503683
beta_dep_1,0.005653367845333631,0.0002500118436306531,22.612400129673258,3.2725178078768507e-113
beta_dep_2,0.0,0.0002135990135241655,0.0,1.0
